timestamp,state,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pressure,altitude,gps_lat,gps_lon,gps_alt,battery_voltage,event_flags,error_code
10,ARMED,-1.052,0.047,0.9349,0.00128,-0.00316,-0.00017,89914.7,999.6,39.920121,32.854102,999.7,8.4,1,OK
20,LAUNCH_DETECT,4.2154,-0.0479,0.9975,-0.00185,-0.00681,0.01223,89849.4,999.9,39.920091,32.854119,999.9,8.4,2,OK
30,LAUNCH_DETECT,9.5525,-0.0203,0.9593,0.00616,0.01129,-0.00114,89829.5,999.6,39.920118,32.854126,999.7,8.4,2,OK
40,LAUNCH_DETECT,14.8294,0.0109,1.0112,0.00679,0.00068,0.00289,89797.8,1000.3,39.920091,32.854083,1000.2,8.4,2,OK
50,LAUNCH_DETECT,20.1935,0.0484,0.9833,0.00163,0.00586,0.00711,89853.0,1000.4,39.920088,32.85413,1000.4,8.4,2,OK
60,LAUNCH_DETECT,25.3771,0.0249,1.0345,-0.00427,0.00159,0.00626,89892.8,999.9,39.920082,32.854087,999.9,8.4,2,OK
70,LAUNCH_DETECT,25.4929,0.0006,1.0223,0.00665,-0.00098,-0.00423,89784.8,1000.1,39.920061,32.854054,1000.0,8.4,2,OK
80,LAUNCH_DETECT,25.4577,0.065,1.0369,-0.00934,-0.00205,-0.0095,89910.2,1000.1,39.920053,32.854115,1000.1,8.4,2,OK
90,LAUNCH_DETECT,25.4648,-0.0265,1.0011,0.01602,-0.00239,-0.01023,89877.9,1000.4,39.920137,32.854129,1000.4,8.4,2,OK
100,LAUNCH_DETECT,25.5113,-0.0463,0.9312,0.00635,-0.00222,-0.01471,89881.0,1000.0,39.920123,32.85417,1000.3,8.4,2,OK
110,LAUNCH_DETECT,25.5546,0.0134,0.9792,-0.00612,-0.00141,0.01066,89855.5,1000.7,39.920072,32.854041,1000.7,8.4,2,OK
120,LAUNCH_DETECT,25.3647,0.0491,0.9407,-0.00965,-0.00725,0.02128,89903.3,1000.5,39.920076,32.854133,1000.5,8.4,2,OK
130,LAUNCH_DETECT,24.9453,0.0223,0.9387,-0.01278,0.00173,0.01579,89853.0,1001.2,39.920108,32.854146,1001.2,8.4,2,OK
140,LAUNCH_DETECT,24.6723,0.0768,0.9388,-0.01368,0.01651,0.01724,89837.2,1001.2,39.920139,32.854061,1001.1,8.4,2,OK
150,LAUNCH_DETECT,24.2657,-0.0082,1.0704,0.00091,0.00644,-0.0205,89811.2,1001.6,39.920067,32.854069,1001.6,8.4,2,OK
160,LAUNCH_DETECT,23.8862,-0.0242,1.0501,0.00538,0.01337,-0.00155,89839.0,1001.5,39.920107,32.854106,1001.4,8.4,2,OK
170,LAUNCH_DETECT,23.6297,0.0938,0.9856,-0.01463,-0.00591,0.00316,89810.3,1002.8,39.920082,32.854025,1002.8,8.4,2,OK
180,LAUNCH_DETECT,23.2564,-0.0047,0.9266,0.02129,-0.01287,-0.01097,89988.4,1003.5,39.920068,32.854087,1003.5,8.4,2,OK
190,LAUNCH_DETECT,22.8968,0.0389,0.9812,-0.00134,-0.01375,-0.00238,89850.8,1002.8,39.920085,32.854117,1002.9,8.4,2,OK
200,LAUNCH_DETECT,22.6258,-0.0,1.0158,-0.00097,0.02093,0.01573,89796.9,1003.5,39.92007,32.854142,1003.5,8.4,2,OK
210,LAUNCH_DETECT,22.1819,0.0227,0.9764,0.00264,0.00052,-0.00292,89818.0,1003.6,39.920104,32.854152,1003.3,8.4,2,OK
220,LAUNCH_DETECT,21.9376,-0.0186,1.0164,0.01727,-0.01534,0.00864,89822.9,1003.9,39.920072,32.854088,1004.0,8.4,2,OK
230,LAUNCH_DETECT,21.6738,0.0219,1.0219,0.00828,-0.00297,0.00067,89870.5,1004.2,39.920068,32.854127,1004.2,8.4,2,OK
240,ASCENT,21.282,0.0365,0.9966,-0.01172,-0.00518,0.01511,89781.0,1005.3,39.920073,32.854101,1005.2,8.4,2,OK
250,ASCENT,20.9162,0.0304,1.0152,0.00072,0.00414,0.01616,89781.0,1004.5,39.920116,32.854044,1004.6,8.4,2,OK
260,ASCENT,20.5978,0.0407,1.0116,0.00234,0.0027,-0.00863,89797.4,1006.0,39.92011,32.854135,1005.9,8.4,2,OK
270,ASCENT,20.2833,-0.0411,1.0422,0.00011,0.01329,0.00857,89826.9,1007.0,39.920163,32.854093,1006.8,8.4,2,OK
280,ASCENT,19.839,0.0655,0.9374,-0.01601,-0.00794,0.0044,89807.0,1007.4,39.920062,32.854019,1007.4,8.4,2,OK
290,ASCENT,19.5364,0.0069,1.0115,0.0053,-0.00705,-0.0018,89828.0,1007.8,39.920089,32.854118,1007.8,8.4,2,OK
300,ASCENT,19.2053,-0.0648,0.8833,-0.00678,0.00749,-0.00285,89835.0,1008.4,39.920136,32.854098,1008.5,8.4,2,OK
310,ASCENT,18.7712,-0.074,0.9821,0.00804,0.01721,-0.01382,89721.9,1009.1,39.920113,32.854095,1008.9,8.4,2,OK
320,ASCENT,18.7874,-0.0535,1.0214,-0.00189,0.00329,0.00362,89750.0,1010.2,39.92006,32.854138,1010.2,8.4,2,OK
330,ASCENT,18.8412,0.0174,1.1038,0.00069,0.0016,0.01076,89776.7,1009.7,39.920099,32.854111,1009.6,8.4,2,OK
340,ASCENT,18.7224,-0.0229,1.0968,0.01106,-0.00962,0.00348,89738.6,1010.6,39.920105,32.854122,1010.6,8.4,2,OK
350,ASCENT,18.7728,0.1299,1.0716,0.00092,0.00581,-0.00057,89706.4,1011.4,39.920112,32.85407,1011.5,8.4,2,OK
360,ASCENT,18.8518,0.0227,1.0468,-0.01831,-0.00336,-0.01991,89806.0,1011.5,39.920124,32.854075,1011.3,8.4,2,OK
370,ASCENT,18.8096,0.0217,1.0232,-0.01561,-0.00297,0.00099,89769.5,1012.9,39.920109,32.854123,1012.8,8.4,2,OK
380,ASCENT,18.9212,-0.0444,0.9904,0.01404,-0.00443,0.01455,89734.8,1013.7,39.920142,32.854087,1013.6,8.4,2,OK
390,ASCENT,18.8652,0.0319,1.0574,-0.02394,-0.00787,-0.01686,89726.1,1014.0,39.920095,32.854091,1014.0,8.4,2,OK
400,ASCENT,18.7946,0.0331,1.0278,0.00296,0.02035,-0.00087,89667.6,1015.0,39.920072,32.854056,1014.9,8.4,2,OK
410,ASCENT,18.864,-0.0383,1.037,-0.0016,-0.00653,0.00548,89624.2,1016.1,39.920098,32.854109,1016.0,8.4,2,OK
420,ASCENT,18.7766,0.0624,1.0182,-0.0241,-0.01156,-0.00294,89723.5,1016.3,39.920154,32.854059,1016.2,8.4,2,OK
430,ASCENT,18.9316,0.0124,0.9174,-0.01281,-0.00424,-0.00521,89690.8,1018.0,39.920052,32.854118,1017.9,8.4,2,OK
440,ASCENT,18.8211,0.027,1.0224,-0.01686,0.00538,-0.01034,89598.3,1018.6,39.920112,32.854072,1018.5,8.4,2,OK
